label	text
2	Relapse Prevention in First Episode Schizophrenia: a 5 Year Trial, Evidence for optimal duration and necessary ingredients of early and sustained specialized treatment from first episode psychosis till the end of the initial phase schizophrenia is still insufficient. Randomized trials with a treatment duration of six months to two years with favorable symptomatic and psychosocial results disappeared at five year follow-up. Other studies suggest that specialized treatment should last 5 years in order to be able to prevent instead of only delaying clinical and psychosocial deteriorating.||In this study we examine both the symptomatic (relapse) and psychosocial outcome of a three armed five year randomized trial in the initial phase of schizophrenia., Schizophrenia|First-psychotic episode|Initial phase|Relapse prevention|Specialized treatment|Parent groups|Social functioning
0	Cranial Electro Therapy Stimulation in Reducing Perioperative Anxiety, CES Alpha-Stim is a non-invasive device which has been in place and has been approved for patients to reduce anxiety by the FDA. This study involves the use of CES Alpha-Stim device applied to the patient 30 minutes before and through-out cataract surgery procedure and then to measure the level of anxiety and discomfort by using a visual analog scale (VAS). We propose that by applying the device the patients will be able to have markedly less level of anxiety and discomfort before and during the surgery and will ultimately avoid the traditional use of sedative or analgesic drugs being used for these kinds of surgery., Cranial Electro Stimulation|First Eye Cataract Surgery|Preoperative sedation|Perioperative sedation
2	First-in-Human Study to Evaluate AMG 579 in Healthy Subjects and Patients With Stable Schizophrenia, 0, single dose, safety, healthy subjects, schizoaffective disorder, AMG 579
2	Study Comparing Bifeprunox to Risperidone in Treatment of Outpatients With Schizophrenia With Weight as Primary Endpoint, 0, Schizophrenia
1	Valproate Response in Aggressive Autistic Adolescents, Autism is a complex biological disorder that generally lasts throughout a person's life. It starts before age three and causes delays or problems with many different ways in which a person develops or grows. Some people with autism become very aggressive and can hurt others or themselves. This study will test the hypothesis that aggressive autistic adolescents will show a significantly greater response to valproate maintained at blood levels of 75-100 mcg/ml than to placebo. The study will also assess the safety of valproate in autistic adolescents. This represents the first double-blind study of valproate in mentally retarded/developmentally delayed populations.||Participants in this study will undergo DSM-IV evaluation, the Autism Diagnostic Interview-Revised and Autism Diagnostic Observation Schedule, and baseline blood tests. After baseline screening, all participants will be given a placebo for 1 week. Participants will then be randomized to receive either valproate or placebo for 8 weeks. Dosage adjustment according to blood levels drawn at the end of weeks 2 and 4 will be arranged with parents by a child psychiatrist without breaking the blind. The Aberrant Behavior Check-list-Community (ABC-C) irritability subscale will be the primary measure; the Overt Aggression Scale (OAS), ABC-C hyperactivity subscale, Clinical Global Impressions (CGI) problem severity, Self-Injurious Behavior Questionnaire (SIB-Q), and a valproate side effects checklist will be secondary measures., Adolescents
2	Safety and Effectiveness of D-serine in Schizophrenia, Schizophrenia is a life-long brain disorder affecting approximately 1 percent of Americans each year. Schizophrenia can be extremely disabling, causing people to hear voices, experience paranoia or hallucinations, believe that others are controlling their thoughts, and even fail at maintaining a job or caring for themselves. Current medications help to relieve most of these symptoms, but not all. Some people with schizophrenia still suffer from negative symptoms, such as difficulty with talking, expressing emotions, and motivation; they may also suffer from cognitive impairments, such as decreased concentration and memory loss. D-serine, an amino acid found within the body, activates brain cell receptors that appear to play a role in learning and memory. This study will determine whether adding a D-serine solution to a stable antipsychotic medication regimen will decrease negative symptoms in people with schizophrenia.||Participants in this open-label study will remain on their regular medication regimen for at least 2 weeks. During this time and before starting treatment, participants will be interviewed about their emotional problems, marital status, education, family background, employment history, and any drug or alcohol problems. Participants will also undergo a physical exam, an electrocardiogram (EKG), vital sign measurements, psychological tests, cognitive tasks, and an electroencephalogram (EEG). Participants will then begin 4 weeks of treatment with D-serine. In addition to participants' regular medication regimen, they will drink a D-serine powder mixed with water twice daily. Every 2 weeks, participants will undergo a physical exam and an interview about any changes in symptoms or emotional problems that they may be experiencing. Blood and urine samples will be taken throughout the study. After 4 weeks, participants will undergo an EKG, EEG, and the same psychological tests and cognitive tasks completed prior to treatment. A follow-up visit will occur 2 weeks post-treatment to monitor any changes in negative symptoms., Negative symptoms|NMDA|Glutamate|Glycine
2	Observe Real-life Allocation of Atypical Antipsychotics in the Acute Inpatient Management of Schizophrenia, RECONNECT-S BETA, Acute psychotic episode of Schizophrenia
1	Behavior, Neuropsychology, Neuroimage and Electrophysiology in Autistic Individuals With and Without CNVs, Autism spectrum disorders (ASD) is a common severe, multi-factorial, highly heritable, clinically and genetically heterogeneous, life-long impairing childhood-onset neurodevelopmental disorder. Due to its high prevalence and severe lifelong impairment without effective prevention and pharmacological treatment, this disastrous disease has been prioritized for epidemiological, molecular genetic and biomarker studies in the world.||Specific aims:||To validate the structural and functional connectivity in fronto-temporal, and cortico-striato-thalamic circuitry as effective imaging endophenotypes by demonstrating the differences between ASD probands with CNVs findings (n=22) and their unaffected siblings (n=22), probands without CNVs and known genetic markers related to ASD (n=22) and their unaffected siblings (n=22), and matched neurotypicals (n=22 for each);|To validate the neuropsychological functioning (particularly set-shifting and executive function) as effective neuropsychological endophenotypes by demonstrating the differences among the six groups;|To validate the electrophysiological functioning assessed by ERP as effective neurophysiological endophenotypes by demonstrating the differences among the 6 groups; and|To correlate the data from structural and functional connectivity, neuropsychology, and electrophysiology involving altered brain functioning.||The investigators anticipate that probands with CNVs may have higher level of decreased structural and functional connectivity, impaired ERP and neuropsychological functioning than probands without CNVs. The alterations in the structural and functional connectivity, neurophysiological and neuropsychological functioning would be observed in the unaffected siblings as compared to neurotypical participants. If CNV in the probands is proved to be de novo mutation and their unaffected siblings did not have such results, the likelihood of different functioning between their unaffected siblings and neurotypical participants would be decreased. The genetic dosage (CNV, rare mutation with moderate to large clinical effect, versus multiple common variants with very small effects, with regards to unaffected siblings, and neurotypicals) is anticipated to pose the strongest effects on the microstructural integrity of white matter, followed by functional connectivity and electrophysiological function, and neuropsychological function with the least effect., 0
2	Perception of Facial Emotions in Schizophrenia and 22q11 Deletion Syndrome, Methods:||This study will be conducted using visual steady-state visual evoked potentials (SSVEPs). Visual SSVEPs are periodic neural electrophysiological activities that arise in response to fast periodic visual stimulation (FPVS). They will be recorded in response to the periodic presentation of faces, according to an oddball paradigm. While pictures of faces will appear at a 6 Hz rate, only 1 out of 5 will display an emotion, corresponding to a 1.2 Hz oddball frequency. Different emotions will be tested (happiness, sadness, anger, fear and disgust), displayed with different intensities (20%, 60%, 100%). SSVEPs at 6 Hz will reflect general visual mechanisms (in response to a mixture of low-level (i.e., contrast coding) and high-level (i.e., face detection) processes). Importantly, SSVEPs at 1.2 Hz will index the visual mechanisms specifically involved in facial expression perception and their sensitivity to emotion intensity. Both measures will help determine the underlying brain topographies.||Alongside, clinical and neuropsychological tests will be conducted. While the clinical tests will evaluate the severity of the symptoms, the neuropsychological tests will assess different features such as attention, memory, verbal and visuo-spatial abilities. The patients' scores will be linked with their cerebral activity in response to facial expressions.||Outcomes:||To better understand the impairment of facial emotion recognition in schizophrenia and 22q11.2DS and to improve its care., schizophrenia|Facial emotions
2	Effects of Transcranial Direct Current Stimulation in Individuals With Schizophrenia, Participants enrolled into this study may be asked to do the following:||Grant permission for the researchers to view medical records associated with their language/cognitive difficulties||Complete a questionnaire, provide a health history, and take some pencil-and-paper tests of problem-solving and memory in order to verify eligibility to participate and to able to safely undergo the experimental procedures.||Complete several tasks (e.g., saying words out loud, naming objects, drawing designs, remembering lists of words, searching for images or letters, and/or completing puzzles) based upon a number of cognitive functions such as language, memory, vision, processing, and perception.||Wear electrodes that will be placed on the scalp with a large rubberized band. These electrodes will administer very weak electrical current (tDCS) from a 9 volt battery for 20 to 60 minutes.||Participation in several study conditions. The exact conditions and their order will be randomized. Under some conditions, participants may receive active stimulation (tDCS) and under other conditions, they may receive sham stimulation.||The experimental sessions will last approximately 2 hours and participants may be asked to have more than one testing session in a day or to return for additional sessions.||Have a Magnetic Resonance Imaging (MRI) brain scan., Schizophrenia|Cognitive Improvement|tDCS|stimulation
2	PK Study of Aripiprazole IM Depot for Chinese Patients With Schizophrenia, To evaluate the pharmacokinetics and safety of aripiprazole prolonged IM depot 400mg administered to Chinese adult subjects with schizophrenia every four weeks for 20 consecutive weeks, 0
2	Nicotinic Receptors and Schizophrenia, 3-2,4 dimethoxybenzylidene will be compounded with a methyallose compound in doses of 150 and 300 mg. The capsules will be administered singly and eventually bid to determine if sustained blood levels comparable to steady state blood levels seen in previous studies can be determined. Safety and EEG effects will be measured., receptors nicotinic
2	VLT-015 in Patients With Schizophrenia, At stage 1, 15 stable patients diagnosed with schizophrenia take 1 tablet of VLT-015 (100 mg) followed by blood sampling to measure the level of the active substance and its main metabolite within 72 hours. After that patients have 3 days washout period.||At the second stage, the same 15 patients take two 100 mg tablets of VLT-015 (200 mg) followed by blood sampling to measure the level of the active substance and its main metabolite within 72 hours. Then patients have the same 3 days washout period.||At stage 3, the same patients take 2 tablets of VLT-015 (200 mg) consecutively for 2 days with 24-hours interval followed by blood sampling to measure the level of the active substance and its main metabolite within 96 hours.||PK parameters are measured, tolerability and safety of the product are evaluated., pharmacokinetic parameters|tolerability|safety|schizophrenia
2	A 6-month Study to Evaluate Sulforaphane Effects in Schizophrenia Patients, This study will be carried out in The Third Jiangyin Hospital in China and total of 120 schizophrenia patients with one negative symptom item score of PANSS≥3 will be enrolled into the study. Individuals who participate in the study will be followed for 24 weeks. The changes in clinical symptoms and neurocognitive function will be assessed from baseline (week-0) to week-12, and week-24., schizophrenia|sulforaphane
2	Internal Monitoring of Eye Movement in Schizophrenia, OBJECTIVE:||To study if there is a defect in internal monitoring of eye movements in patients with schizophrenia.||STUDY POPULATION:||Patients with schizophrenia and normal controls.||DESIGN:||Patients and controls will be asked to follow targets to remembered locations and their eye movements will be monitored.||OUTCOME MEASURES:||Eye movements will be examined for evidence of internal monitoring (corollary discharge) defects which would result in mislocalizing remembered targets., Saccadic Eye Movements|Schizophrenia|Healthy Volunteer|HV
2	Assertive Community Treatment (ACT) in Schizophrenia Spectrum Disorders, Two catchment areas in Hamburg, Germany with similar population size and health care structures were assigned to offer 12-month ACT (& IC; Department of Psychiatry and Psychotherapy, University Medical Center Hamburg-Eppendorf) or SC (Asklepios Hospital, Department of Psychiatry and Psychotherapy) to 120 first-episode and negatively selected multiple-episode patients with SSD. Primary outcome was the time to Service Disengagement. Secondary outcomes comprised medication non-adherence, improvements of symptoms, functioning, quality of life, satisfaction with care from patients and relatives perspectives, and service use data., Schizophrenia, assertive community treatment, quetiapine
2	Effects of Cariprazine on Cardiac Repolarization in Patients With Schizophrenia, 0, schizophrenia|QTc|cardiac repolarization
0	"Lysergic Acid Diethylamide (LSD)-Assisted Psychotherapy in People With Illness-related Anxiety, Diagnosis with a potentially fatal illness is distressing and can provoke anxiety that further reduces quality of life, and a treatment that reduces anxiety when facing deteriorating health and mortality will improve quality of life for people with such illnesses. Forty to fifty years ago, researchers investigated lysergic acid diethylamide (LSD) in combination with psychotherapy to treat anxiety when facing advanced stage cancer. This psychedelic (hallucinogenic) drug can produce transformative or mystical experiences and insights that can help in anxiety reduction. This study will be a randomized, active placebo controlled,double-blind pilot study of the safety and efficacy of LSD-assisted psychotherapy as a way of reducing anxiety in people with potentially fatal illnesses. This study will examine whether two sessions of LSD-assisted psychotherapy scheduled two to four weeks apart will reduce anxiety and improve quality of life for people experiencing anxiety as a result of a potentially fatal illness.||Study subjects will receive either 200 or 20 mcg (micrograms) LSD during two day-long psychotherapy sessions scheduled two to four weeks apart. Subjects in this study will have a 66% of receiving the full dose of 200 mcg LSD, and they have a 33% chance of getting the active placebo dose of 20 mcg LSD. Neither the researchers nor the subject will know whether he got 200 or 20 mcg LSD. Upon participant agreement, all psychotherapy sessions will be recorded to audio and video.||The randomized part of the study will last three and a half months (14 weeks).||People who learn they got the active placebo dose of LSD during the randomized phase can go on to to take part in an ""open label"" study phase, where they will get the full dose of LSD during two day-long psychotherapy sessions scheduled two to four weeks apart. ""Open label"" means that they and the researchers will both be aware that they are getting the full dose of LSD.||Participants who received the full dose of LSD and took part in all study visits will be assessed for symptoms of anxiety and depression and quality of life 12 months after their final experimental session., Anxiety|quality of life|psychotherapy|potentially fatal illness|lysergic acid diethylamide"
2	Long Acting Paliperidone in Dually Diagnosed People With Schizophrenia: An Open-label Pilot Study, 0, Schizophrenia|Substance Abuse
2	The Effect of Paliperidone Palmitate in Schizophrenia, In this study, the investigators are going to examine the effectiveness of paliperidone palmitate after changing from other antipsychotics. This study design is a Prospective Naturalistic Case Series Study. The effectiveness of paliperidone would be compared within three different groups of schizophrenia. Investigators would also assess the safety during 24 weeks follow up period., Schizophrenia|Injection|Switch|Paliperidone|refractory, chronic akathisia, poor complianc
1	Prebiotic Intervention for Autism Spectrum Disorders, Children with ASD have a higher incidence of dietary and/or bowel problems than typically developing children. it has been postulated that imbalances in the gut bacteria and/or metabolites present in the gut may be a contributing factor to these symptoms, with potentially bad (toxin-producing) bacteria colonising the gut. Certain carbohydrates (so-called 'prebiotics') are not digested by the human gut and they provide food for beneficial bacteria and thus they improve the composition by preventing the growth of bad bacteria. Individuals could therefore benefit from these safe and effective dietary interventions to maintain the healthy gut bacteria and overall health. This study is being carried out to establish the effect of one such prebiotic, called galactooligosaccharide (B-GOS) on the relative balance of gut bacteria and metabolites in children with ASD. The aim is to enrol 42 children, ages 5-10 with formal ASD diagnosis and with signed informed consent from their parents, into double-blind, placebo controlled, parallel study. The trial will last 10 weeks in total (2 weeks run in period, 6 weeks treatment and 2 weeks follow up). Children will be required to take food supplement daily during the treatment period and their parents will collect stool, saliva and urine samples. Various questionnaires will also be used for assessments. Children will not be required to make other extra changes to their diet, medication or lifestyle., 0
2	Imaging Cannabinoid CB1 Receptors in Schizophrenia, Schizophrenia is a debilitating mental disorder with a complex and multifactorial etiology. The exact pathophysiological mechanisms have remained elusive, but a large body of evidence points toward abnormalities in a number of brain neurotransmitter systems: dopamine, glutamate, and gamma-amino butyric acid (GABA). Pharmacological studies have shown that acute exposure to cannabis is able to induce psychotic symptoms in healthy individuals and exacerbate symptoms in patients with an established psychotic illness. In addition, epidemiological studies have established that cannabis use in early adolescence is associated with an increased risk of developing schizophrenia later in life. Together, this evidence suggests that the neural systems targeted by cannabis may be involved in the pathophysiology of schizophrenia.||The brain endocannabinoid (EC) system is a recently discovered brain neurotransmission system, which involves endogenous cannabinoid agents (ECs) that act upon specific receptors (CB1 and CB2). CB1 receptor is abundant in the human brain and acts as an inhibitory modulator of classical neurotransmitters. ECs and CB1 receptors appear to be involved in the pathophysiology of schizophrenia. EC levels are elevated in the cerebrospinal fluid of patients with schizophrenia, and post-mortem studies have shown increased density of radioligand binding to brain CB1 receptors. To what extent CB1 receptors are involved in the pathophysiology of schizophrenia in the living human brain is currently unknown. The lack of suitable methods to reliably quantify CB1 receptors in the living human brain have to date hindered the progress in this field.||In this protocol, we outline studies aiming at elucidating the role of CB1 receptors in schizophrenia by using positron emission tomography (PET) and the recently developed radiotracer for CB1 receptors, [18F]FMPEP-d(2). The aim of this project is to explore CB1 receptor abnormalities in human patients with schizophrenia. The primary hypothesis is that CB1 receptor density is increased in patients with schizophrenia in comparison with healthy subjects. Insight into the role of CB1 receptor function in schizophrenia may help guide future development of pharmacotherapies., CB1 Receptor|Schizophrenia|Positron Emission Tomography (PET)|Healthy Volunteers|HV
2	A Study of the Effectiveness and Safety of Galantamine Hydrobromide on Cognitive Impairment in Patients With Schizophrenia., Galantamine acts on acetylcholinesterase, and has been shown to effectively treat cognitive symptoms in patients with Alzheimer's disease. Previous cellular research of nicotinic receptors has shown promising results, and it is theorized that the nicotinic system of patients with schizophrenia may be abnormal and may play an important role in the cognitive symptoms associated with schizophrenia. It is also postulated that galantamine may improve neuropsychiatric symptoms such as hallucinations, delusions, and apathy in patients with Alzheimer's disease. Atypical antipsychotic medications are effective treatment for schizophrenia patients but some symptoms remain. Therefore, galantamine may be a useful cotreatment for schizophrenia patients on atypical antipsychotic treatment. This is a pilot dose-ranging, randomized (patients are assigned different treatments based on chance), double-blind (neither the patient nor the physician knows whether drug or placebo is being taken, or at what dosage), placebo-controlled multicenter study that examines the effects of taking extended-release galantamine hydrobromide (16 or 24 mg once daily) or placebo on the effectiveness in reducing symptoms of schizophrenia patients who are already taking an atypical antipsychotic medication. The safety of combined treatment is also examined. Measures of effectiveness include the Positive and Negative Syndrome Scale (PANSS) to measure neuropsychiatric symptoms of schizophrenia; the Clinical Global Impression (CGI) scale to measure change over the course of the study; the Brief Assessment of Cognition in Schizophrenia (BACS) for verbal memory and learning, working memory, motor function, attention, verbal fluency, and executive functioning; the Continuous Performance Test (CPT) for sustained attention and distractability; reaction time test (RTT) and finger tapping test (FTT) for psychomotor speed; Lexical and Semantic Fluency Test (LSFT) for language skills. As schizophrenia patients are a population with high nicotine use, and galantamine may act on nicotine receptors, blood levels of nicotine are also measured as varying nicotine levels could alter the effects of galantamine. The null hypothesis that there is no difference between the 2 groups (galantamine cotreatment and placebo) will be tested for each of the efficacy measurements (total PANSS, BACS, and CGI scores) at Week 8. Measures of safety include physical examinations, electrocardiograms (ECGs), clinical laboratory tests, measurement of plasma prolactin concentrations, pregnancy test for women, and incidence of adverse events. Adverse events that might be related to the medications are also monitored using the Simpson-Angus Extrapyramidal Side Effects Scale (SAS), the Barnes Akathisia Rating Scale (BARS), and the Abnormal Involuntary Movement Scale (AIMS). Extended-release galantamine hydrobromide or matching placebo capsules for once-daily dosing. Patients take 8 milligrams (mg) per day during Week 1, 16 mg per day during Week 2, and 16 mg or 24 mg per day (depending on randomization) during Weeks 3 to 8. Treatment groups are placebo capsule, 16 mg capsule, 24 mg capsule., Schizophrenia|cognitive impairment|galantamine|acetylcholinesterase inhibitors|antipsychotic drugs|BACS
0	Effect Of Musıc Therapy On Anxıety Levels In COVID-19 Pandemıc, Today, billions of people are struggling with the pandemic caused by the COVID-19 virus. The pandemic causes many psychosocial and mental health problems in humans. (Montano and Acebes 2020, Guo, Feng et al. 2020, Ostacoli, Cosmo et al. 2020, Carmassi, Foghi et al. 2020, Heitzman 2020, Sun, Sun et al. 2021, Yuan ,Gong et al. 2021, Taylor, Landry et al 2020 ). Many people have faced problems such as stress, depression and anxiety (Liu, Yang et al 2020). Compared to other segments of the society, health workers experience these problems more frequently and more severely. The reason for this is that healthcare professionals undertake the task of providing health care services to people infected with the virus, being together with patients, having close contact and meeting their health needs. This situation triggers the risk of contact with patients, fear of death, concerns about the health of themselves and their family members, and psychological problems (Aykurt and Aykurt 2020). Therefore, healthcare workers are considered to be a high-risk group in which the psychological consequences of COVID-19 are significant and persistent (Fiorillo and Gorwood 2020).||Studies in the literature have shown that healthcare workers experience severe anxiety due to COVID-19. (Yanez, Jahanshahi et al 2020, Sahebi, Nejati et al 2021, Lai, Ma et al 2019, Ataç, Sezerol et al 2020, Luo, Liu et al 2021).||It is very important to screen health workers who provide uninterrupted service in pandemic conditions in terms of anxiety and other psychological problems and to plan remedial interventions. In this context, music therapy, which is known as an effective method to reduce the anxiety level of individuals and reduce stress, comes to mind. Music therapy studies with healthcare professionals are limited in the literature. In this context, it is aimed that this study will contribute to filling this gap in the literature and creating a database., Music Therapy
2	A Study for Schizophrenia Relapse Prediction, 0, 0
2	Oxytocin as Adjunctive Therapy for Schizophrenia, The project has two main aims:||Aims of the cross-over study To assess the efficacy of intranasal OXT in reducing negative symptoms in patients with SZ (as evaluated with PANSS), in association with standard Second Generation Antipsychotics (SGA)treatment; recruited patients will be aged 18-45 years and will have a disorder duration of no longer than 10 years.|Aims of the neuropsychological assessment To use an Emotional Priming Paradigm (EPP) task to assess pre- and post-treatment change in the patients general cognitive and emotional status.||The investigators aim at treating a large sample size of patients with schizophrenia, consisting exclusively of patients with a limited disorder duration and rather young age, for a sufficiently long period of time. Our rationale for employing a longer treatment period than used in previous and on-going trials is to ascertain the possibility of a positive OXT dose-response relationship, which would be observable, however, with longer treatment exposure. Moreover, only patients with a disorder onset of 10 years or less will be enrolled.||They will then be standardized in terms of AP treatment and randomized to OXT or placebo for 8 months.||OXT is a hormone that is naturally present in the human body, and recent studies have suggested that patients with SZ show low levels of this neuropeptide. It is therefore hypothesized that the treatment proposed in this project might balance apparently lower OXT levels in these patients.||Finally, another innovative aspect of this project is the attention at ameliorating patients adherence to treatment by supporting them with a reminder program (automatic SMS will be sent every morning to remind patients the daily OXT self-administration) and involving a trustworthy caregiver who will be trained in OXT administration and will be asked to monitor the patient compliance by recording each self-administration on a written form., Schizophrenia|Oxytocin|RCT
0	The Relative Effects of Three Parent-Intervention Components to Reduce Children's Anxiety, 0, Anxiety|Children|Parents|Prevention|Intervention
0	Anxiety Sensitivity Treatment for Heroin Users, 0, anxiety sensitivity|heroin
2	A Study to Evaluate the Efficacy and Safety of SEP-363856 in Acutely Psychotic Adults With Schizophrenia, This is a multicenter, randomized, double-blind, parallel-group, flexibly-dosed, study evaluating the efficacy and safety of SEP-363856 in acutely psychotic adult subjects with schizophrenia using SEP-363856 (50 or 75 mg/day [ie, once daily]) versus placebo over a 4-week treatment period. Primary hypoathesis to be tested: H0: μSEP = μPBO versus H1: μSEP ≠ μPBO, where μSEP and μPBO are the mean changes from Baseline at Week 4 in PANSS total score for the SEP-363856 and placebo arms, respectively. Subjects who complete study SEP361-201 may be eligible to enroll in the open-label extension study SEP361-202., Schizophrenia
2	Computerized Cognitive Training for Schizophrenia in Brazil, Cognitive impairments are important determinants of functional outcome in schizophrenia, which are inadequately treated by antipsychotic medication. Neuroplasticity based computerized cognitive trainings have been emerging for the last two decades and are an attempt to help patients with their cognitive impairments and global functioning.||The aim of this study is to perform a computerized cognitive training to improve attention, concentration, learning, clinical symptoms and quality of life in patients. The investigators are interested in testing the differential efficacy between a specific visual versus auditory computerized cognitive training and explore the biological markers that may be involved in these neuroplasticity based training processes.||The investigators will conduct a 40 hours computerized, adaptable, perception specific, cognitive training program in patients with schizophrenia. Patients will come for 1 hour, daily, and perform a visual or auditory training, or control games for about 2 months. Visual and auditory exercises are chosen to be the equivalent of one another and target cognitive domains such as divided attention, working memory and social cognition. Clinical, cognitive, emotional and biomarker data will be collected before the training, half way through, and after the training, to assess progress in several aspects of their functioning and biology.||The investigators hypothesize visual and auditory trainings will be effective as compared to the control games. They also expect that auditory training to be more efficient compared to the visual training because it targets sensory functions that are mostly impaired in schizophrenia, due to auditory hallucinations patients experience. The investigators also hypothesize that both trainings will improve clinical symptoms and quality of life. On a more exploratory analysis, the investigators expect to identify new biological markers of cognitive neuroplasticity, which they expect will differentiate visual and auditory paths., cognitive training
2	Treatment Response in Schizophrenia: Bridging Imaging and Postmortem Studies, Our past brain imaging and Positron Emission Tomography (PET) studies have contributed to the understanding of specific brain regions related to treatment response to antipsychotic drugs in schizophrenia. We have found that treatment response to antipsychotic medication is related to blood-flow patterns in specific regions (such as the ventral striatum, anterior cingulate cortex, and hippocampus). In addition, functional changes in these regions following one week of antipsychotic drug therapy are predictive of treatment response. Dr. Roberts, a neuroanatomist, has studied the post mortem (after death) brains of patients with schizophrenia while working in association with the Maryland Brain Collection. Her studies have indicated an increased number of dopaminergic synapses (that is, neurons that produce the neurotransmitter dopamine) in these regions in patients who were known to have had a favorable response to antipsychotic drug therapy. In addition, from this post-mortem work we know the number of glutamate synapses in these regions were significantly different between good treatment responders and poor responders.||From these studies we have hypothesized that in schizophrenia an over-abundance of dopamine in the ventral striatum interferes with normal functioning by limiting the transmission of glutamate. Putatively, antipsychotic medications may decrease the symptoms of schizophrenia by restoring glutamatergic activity in the ventral striatum and projected areas, such as the anterior cingulate cortex and hippocampus. We have hypothesized that those individuals responding favorably to antipsychotic drug therapy will display greater glutamate activity in the ventral striatum (due to dopamine blockade) and the other regions receiving glutamate projections. This should lead to restored neuronal functioning in good responders when compared to treatment resistant and poor responders to antipsychotic drug treatment. We will test this hypothesis using complementary imaging and postmortem studies yielding data that will permit the formulation of a comprehensive model for antipsychotic drug responses in subjects with severe mental illness.||Magnetic Resonance is a technique for probing atoms and molecules based upon their interaction with an external magnetic field. Magnetic Resonance does not use ionizing radiation. The most familiar example of this is Magnetic Resonance Imaging (MRI). Another application of Magnetic Resonance is called functional Magnetic Resonance Imaging (fMRI). Functional Magnetic Resonance Imaging (fMRI) allows us to measure the Blood Oxygenation Level-Dependent (BOLD) response, a measure of blood flow in the brain that is known to correlate with neuronal activity. Another application of Magnetic Resonance is Magnetic Resonance Spectroscopy (MRS), which allows the measurements of specific metabolites such as N-acetyl aspartate (NAA), a measure of neuronal integrity, and Glutamate, which is involved in neurotransmission and metabolism. We will seek to replicate and extend our past Positron Emission Tomography (PET) findings with functional magnetic resonance imaging (fMRI) using cognitive tasks that are known to activate the hippocampus (Episodic memory task) and the anterior cingulate cortex (Stroop task). This aim will further seek to parse out the differential contribution of the hippocampus and the anterior cingulate cortex to treatment response. At the same time, N-acetylaspartate, a marker of neuronal integrity, and glutamate measurements obtained with magnetic resonance spectroscopy in the anterior cingulate cortex and hippocampus will directly probe in the living brain the relation between neuronal integrity, glutamate function, and treatment response. In parallel, the postmortem work of Dr. Roberts (UAB IRB exemption: NO70813001, IRB#F080306003) will concentrate on the study of the anterior cingulate cortex in post mortem brains of schizophrenic patients. These studies should allow the development of hypotheses about the pathophysiology of treatment response and provide a basis for the interpretation of functional imaging data. The overarching goal is to identify imaging markers that will predict treatment response, and to confirm or validate these biomarkers using anatomical studies of postmortem tissue. Early detection of drug response would yield specific treatment strategies that are tailored to the individual, thus improving both the quality of life of the patients and drastically reducing the costs associated with unsuccessful treatment strategies., schizophrenia|treatment response|risperidone|functional magnetic resonance|functional magnetic spectroscopy
